,Source,Target,Type,Weight
444,90,180,Undirected,1
445,90,35,Undirected,8
446,90,193,Undirected,1
447,193,129,Undirected,1
448,199,236,Undirected,1
449,50,116,Undirected,1
450,50,177,Undirected,1
451,116,177,Undirected,1
452,122,185,Undirected,7
453,56,122,Undirected,2
454,220,99,Undirected,1
455,220,209,Undirected,1
456,46,209,Undirected,2
457,183,209,Undirected,1
458,46,6,Undirected,8
459,6,124,Undirected,2
460,122,52,Undirected,3
461,46,52,Undirected,1
462,122,124,Undirected,8
463,209,124,Undirected,2
464,199,40,Undirected,84
465,104,40,Undirected,36
466,40,67,Undirected,4
467,225,40,Undirected,81
468,112,40,Undirected,4
469,104,211,Undirected,2
470,40,211,Undirected,2
471,225,179,Undirected,7
472,90,40,Undirected,4
473,136,40,Undirected,36
474,160,196,Undirected,1
475,160,40,Undirected,3
476,196,40,Undirected,2
477,6,40,Undirected,10
478,6,225,Undirected,3
479,6,179,Undirected,2
480,225,65,Undirected,1
481,40,65,Undirected,1
482,225,86,Undirected,3
483,40,86,Undirected,3
484,89,199,Undirected,3
485,89,44,Undirected,2
486,44,144,Undirected,2
487,225,82,Undirected,1
488,40,82,Undirected,2
489,225,236,Undirected,1
490,40,236,Undirected,2
491,167,40,Undirected,1
492,225,196,Undirected,1
493,179,40,Undirected,7
494,40,129,Undirected,1
495,82,199,Undirected,2
496,40,17,Undirected,2
497,44,136,Undirected,1
498,18,89,Undirected,1
499,18,220,Undirected,1
500,89,220,Undirected,11
501,89,177,Undirected,3
502,89,98,Undirected,1
503,70,198,Undirected,3
504,70,177,Undirected,1
505,187,190,Undirected,3
506,187,185,Undirected,8
507,187,56,Undirected,3
508,187,123,Undirected,1
509,133,89,Undirected,5
510,99,32,Undirected,1
511,99,155,Undirected,1
512,32,155,Undirected,1
513,155,221,Undirected,1
514,169,124,Undirected,3
515,157,35,Undirected,1
516,199,28,Undirected,1
517,67,164,Undirected,1
518,89,221,Undirected,1
519,104,83,Undirected,2
520,83,112,Undirected,2
521,83,199,Undirected,3
522,83,110,Undirected,1
523,199,110,Undirected,1
524,112,164,Undirected,2
525,90,164,Undirected,3
526,195,177,Undirected,1
527,190,56,Undirected,2
528,190,122,Undirected,2
529,217,122,Undirected,2
530,217,185,Undirected,1
531,122,11,Undirected,1
532,36,133,Undirected,1
533,136,51,Undirected,2
534,136,8,Undirected,2
535,51,199,Undirected,1
536,51,79,Undirected,1
537,51,90,Undirected,2
538,51,8,Undirected,1
539,51,144,Undirected,1
540,199,8,Undirected,92
541,79,90,Undirected,1
542,79,8,Undirected,1
543,79,144,Undirected,1
544,90,8,Undirected,267
545,8,144,Undirected,1
546,112,8,Undirected,13
547,233,90,Undirected,3
548,233,199,Undirected,2
549,233,8,Undirected,1
550,233,35,Undirected,1
551,233,167,Undirected,1
552,233,6,Undirected,1
553,233,104,Undirected,1
554,233,112,Undirected,1
555,35,167,Undirected,1
556,35,6,Undirected,2
557,90,6,Undirected,65
558,167,6,Undirected,1
559,6,104,Undirected,1
560,6,112,Undirected,1
561,90,67,Undirected,6
562,8,67,Undirected,3
563,35,8,Undirected,3
